,state,pollster,sponsor,start.date,end.date,entry.date.time..et.,number.of.observations,population,mode,biden,trump,biden_margin,other,undecided,url,include,notes
13,KS,Civiqs,,9/26/2020,9/29/2020,9/30/2020 17:28:00,677,lv,Online,42.0,52.0,-10.0,,,https://civiqs.com/documents/Civiqs_DailyKos_KS_banner_book_2020_09_dw29u7.pdf,True,
14,SC,Quinnipiac University,,9/23/2020,9/27/2020,9/30/2020 14:12:00,1123,lv,Online,47.0,48.0,-1.0,,,https://poll.qu.edu/south-carolina/release-detail?ReleaseID=3677,True,
15,--,YouGov,Economist,9/27/2020,9/30/2020,9/30/2020 14:12:00,1350,lv,Online,50.0,42.0,8.0,2.0,6.0,https://docs.cdn.yougov.com/9k0tqsqgue/econTabReport.pdf,True,
16,--,NORC,American Enterprise Institute,7/31/2020,8/11/2020,9/30/2020 13:30:00,4067,a,Live Phone,48.0,37.0,11.0,,,https://www.aei.org/wp-content/uploads/2020/09/American-National-Social-Network-Survey-Topline-Questionnaire.pdf,True,
17,CA,SurveyUSA,,9/26/2020,9/28/2020,9/30/2020 13:30:00,558,lv,Online,59.0,32.0,27.0,,,http://www.surveyusa.com/client/PollReport.aspx?g=d15fdb0d-701d-495c-a67f-e17bfcc3bf92,True,
18,NH,University of New Hampshire,,9/24/2020,9/26/2020,9/30/2020 13:30:00,972,lv,Live Phone,53.0,44.0,9.0,,,https://scholars.unh.edu/survey_center_polls/610/,True,
19,--,Redfield & Wilton Strategies,,9/26/2020,9/27/2020,9/29/2020 21:02:00,3000,rv,Online,50.0,40.0,10.0,3.0,,https://redfieldandwiltonstrategies.com/latest-usa-voting-intention-september-26-27/?utm_source=rss&utm_medium=rss&utm_campaign=latest-usa-voting-intention-september-26-27,True,
20,GA,Civiqs,,9/26/2020,9/29/2020,9/29/2020 15:55:00,969,lv,Online,50.0,47.0,3.0,,,https://m.dailykos.com/stories/2020/9/29/1981768/-Warnock-surges-to-Georgia-Senate-special-election-lead-Dems-all-looking-good-Civiqs-poll,True,
21,ND,DFM Research,,9/12/2020,9/16/2020,9/29/2020 14:10:00,500,lv,Live Phone,37.0,56.0,-19.0,,,https://twitter.com/Politics_Polls/status/1310967942977380353,True,
22,TX,YouGov,University of Massachusetts Lowell,9/18/2020,9/25/2020,9/29/2020 14:10:00,882,lv,Online,46.0,49.0,-3.0,3.0,,https://www.uml.edu/docs/2020-Texas-Sept-Topline_tcm18-330588.pdf,True,
23,NC,YouGov,University of Massachusetts Lowell,9/18/2020,9/25/2020,9/29/2020 14:10:00,921,lv,Online,47.0,47.0,0.0,3.0,,https://www.uml.edu/docs/2020-NC-Sept-Topline_tcm18-330590.pdf,True,
24,NH,YouGov,University of Massachusetts Lowell,9/18/2020,9/25/2020,9/29/2020 14:10:00,657,lv,Online,52.0,44.0,8.0,3.0,,https://www.uml.edu/docs/2020-NH-Sept-Topline_tcm18-330589.pdf,True,
25,GA,Quinnipiac University,,9/23/2020,9/27/2020,9/29/2020 14:10:00,1125,lv,Live Phone,50.0,47.0,3.0,,,https://amgreatness.com/2020/09/29/trump-and-biden-tied-in-new-arizona-poll/,True,
26,--,Morning Consult,,9/25/2020,9/27/2020,9/29/2020 11:36:00,12965,lv,Online,51.0,44.0,7.0,,,https://morningconsult.com/2020-presidential-election-tracker/,True,Monday data (tuesday release)
27,--,J.L. Partners,,9/14/2020,9/23/2020,9/29/2020 8:55:00,4053,lv,Online,51.0,41.0,10.0,,,https://www.jlpartners.co.uk/us-polling,True,
28,PA,ABC News/Washington Post,,9/21/2020,9/26/2020,9/29/2020 0:02:00,567,lv,Live Phone,54.0,45.0,9.0,,,https://abcnews.go.com/Politics/pennsylvania-advantage-biden-big-boost-women-poll/story?id=73290218&cid=social_twitter_abcn,True,
29,AK,Harstad Strategic Research Inc.,,9/20/2020,9/23/2020,9/28/2020 17:26:00,602,lv,Live Phone,46.0,47.0,-1.0,,,https://twitter.com/Nat_Herz/status/1310661243410104320/photo/1,True,
30,PA,NYT/Siena College,,9/25/2020,9/27/2020,9/28/2020 17:26:00,711,lv,Live Phone,49.0,40.0,9.0,11.0,,https://www.nytimes.com/2020/09/28/us/politics/supreme-court-pennsylvania-poll.html,True,
31,WI,Trafalgar Group,,9/22/2020,9/25/2020,9/28/2020 16:49:00,1189,lv,IVR,48.0,45.0,3.0,,,https://www.thetrafalgargroup.org/news/wi-pres-0920/,True,
32,--,Monmouth University,,9/24/2020,9/27/2020,9/28/2020 14:13:00,809,lv,Live Phone,50.0,45.0,5.0,2.0,,https://www.monmouth.edu/polling-institute/reports/MonmouthPoll_US_092820/,True,
33,NC,Meredith College,,9/18/2020,9/22/2020,9/28/2020 13:04:00,705,rv,Online,46.0,45.0,1.0,3.0,,https://www.meredith.edu/assets/images/content/Meredith_College_Poll_Report_September_2020.pdf,True,
34,TX,Public Policy Polling,,9/25/2020,9/26/2020,9/28/2020 11:24:00,612,lv,IVR,48.0,48.0,0.0,,,https://twitter.com/EngelsAngle/status/1310534726579560448,True,
35,--,Echelon Insights,,9/19/2020,9/25/2020,9/28/2020 11:24:00,1018,lv,Live Phone,50.0,41.0,9.0,4.0,,http://echeloninsights.com/wp-content/uploads/Omnibus_September-2020_Release1.pdf,True,
36,NV,"University of Nevada, Las Vegas Lee Business School ",,9/10/2020,9/25/2020,9/28/2020 11:24:00,641,lv,Online,46.0,41.0,5.0,,,https://busr.ag/polls,True,
37,CA,Redfield & Wilton Strategies,,9/19/2020,9/21/2020,9/27/2020 18:25:00,1775,lv,Online,62.0,28.0,34.0,2.0,,https://redfieldandwiltonstrategies.com/california-presidential-proposition-22-and-proposition-24-voting-intentions-19-21-september/,True,
38,--,USC Dornsife,,9/13/2020,9/26/2020,9/27/2020 16:40:00,5257,lv,Online,51.0,42.0,9.0,,,https://election.usc.edu/,True,Monday release
39,SC,YouGov,CBS News,9/22/2020,9/25/2020,9/27/2020 16:40:00,1080,lv,Online,42.0,52.0,-10.0,,,https://www.cbsnews.com/news/trump-biden-opinion-poll-georgia-north-carolina-supreme-court-09-27-2020/,True,
40,NC,YouGov,CBS News,9/22/2020,9/25/2020,9/27/2020 16:40:00,1213,lv,Online,48.0,46.0,2.0,,,https://www.cbsnews.com/news/trump-biden-opinion-poll-georgia-north-carolina-supreme-court-09-27-2020/,True,
41,GA,YouGov,CBS News,9/22/2020,9/25/2020,9/27/2020 16:40:00,1164,lv,Online,46.0,47.0,-1.0,,,https://www.cbsnews.com/news/trump-biden-opinion-poll-georgia-north-carolina-supreme-court-09-27-2020/,True,
42,--,NYT/Siena College,,9/22/2020,9/24/2020,9/27/2020 16:40:00,950,lv,Live Phone,49.0,41.0,8.0,3.0,,https://int.nyt.com/data/documenttools/us0920-crosstabs/e9c96a16d8951e8c/full.pdf,True,
43,--,ABC News/Washington Post,,9/21/2020,9/24/2020,9/27/2020 16:40:00,739,lv,Live Phone,49.0,43.0,6.0,7.0,,https://www.langerresearch.com/wp-content/uploads/1217a2The2020Election.pdf,True,
44,WI,Marist College,NBC News,9/20/2020,9/24/2020,9/27/2020 16:40:00,727,lv,Live Phone,54.0,44.0,10.0,,,http://maristpoll.marist.edu/wp-content/uploads/2020/09/NBC-News_Marist-Poll_WI-Likely-Voters-NOS-and-Tables_202009251238.pdf,True,
45,MI,Marist College,NBC News,9/19/2020,9/23/2020,9/27/2020 16:40:00,799,lv,Live Phone,52.0,44.0,8.0,,,http://maristpoll.marist.edu/wp-content/uploads/2020/09/NBC-News_Marist-Poll_MI-Adults-Registered-Voters_NOS-and-Tables_202009251227.pdf,True,
46,MN,Mason-Dixon Polling & Strategy,,9/21/2020,9/23/2020,9/26/2020 15:18:00,800,lv,Live Phone,48.0,42.0,6.0,,,https://www.mprnews.org/story/2020/09/26/minnesota-poll-biden-holds-on-to-lead-over-trump,True,
47,--,Ipsos,Reuters,9/22/2020,9/24/2020,9/25/2020 18:22:00,934,lv,Online,50.0,41.0,9.0,,,https://www.westfargopioneer.com/news/government-and-politics/6679370-Sept.-22-24-polling-shows-Trump-Biden-divide-as-challenger-maintains-lead,True,
48,--,Ipsos,Reuters,9/18/2020,9/22/2020,9/25/2020 18:22:00,889,lv,Onlilne,50.0,42.0,8.0,,,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-09/2020_reuters_tracking_-_core_political_general_election_tracker_09_25_2020_.pdf,True,
49,WI,Hart Research Associates,,9/17/2020,9/19/2020,9/25/2020 18:22:00,400,lv,Live Phone,51.0,44.0,7.0,,,https://www.hrc.org/parts/HRC-Poll-917-202020.pdf,True,
50,PA,Hart Research Associates,,9/17/2020,9/19/2020,9/25/2020 18:22:00,400,lv,Live Phone,53.0,42.0,11.0,,,https://www.hrc.org/parts/HRC-Poll-917-202020.pdf,True,
51,MI,Hart Research Associates,,9/17/2020,9/19/2020,9/25/2020 18:22:00,400,lv,Live Phone,50.0,45.0,5.0,,,https://www.hrc.org/parts/HRC-Poll-917-202020.pdf,True,
52,FL,Hart Research Associates,,9/17/2020,9/19/2020,9/25/2020 18:22:00,400,lv,Live Phone,51.0,45.0,6.0,,,https://www.hrc.org/parts/HRC-Poll-917-202020.pdf,True,
53,AZ,Hart Research Associates,,9/17/2020,9/19/2020,9/25/2020 18:22:00,400,lv,Live Phone,53.0,42.0,11.0,,,https://www.hrc.org/parts/HRC-Poll-917-202020.pdf,True,
54,--,Redfield & Wilton Strategies,,9/22/2020,9/23/2020,9/25/2020 18:22:00,2500,lv,Online,50.0,41.0,9.0,3.0,,https://redfieldandwiltonstrategies.com/latest-usa-voting-intention-september-22-23/,True,
55,NV,ALG Research,,9/15/2020,9/21/2020,9/25/2020 13:19:00,800,lv,Live Phone,47.0,43.0,4.0,,,https://thenevadaindependent.com/article/new-democratic-poll-shows-biden-up-4-in-nevada,True,
56,CA,"University of California, Berkeley",,9/5/2020,9/15/2020,9/25/2020 13:19:00,5942,lv,Online,67.0,28.0,39.0,,,https://www.kqed.org/news/11839535/poll-biden-leads-trump-by-39-points-in-california-ahead-in-every-region,True,
57,MD,OpinionWorks,,9/4/2020,9/11/2020,9/25/2020 13:19:00,753,lv,Online,62.0,30.0,32.0,,,https://docs.google.com/viewer?a=v&pid=sites&srcid=b3BpbmlvbndvcmtzLmNvbXxjb21wMXxneDoxMjc5ZWQzMzNlZWQ5NmU3,True,
58,TX,Data for Progress,,9/15/2020,9/22/2020,9/25/2020 13:19:00,726,lv,Online,45.0,46.0,-1.0,,,https://filesforprogress.org/memos/student-debt-project-electoral.pdf,True,
59,FL,Data for Progress,,9/15/2020,9/22/2020,9/25/2020 13:19:00,620,lv,Online,46.0,43.0,3.0,,,https://filesforprogress.org/memos/student-debt-project-electoral.pdf,True,
60,AZ,Data for Progress,,9/15/2020,9/22/2020,9/25/2020 13:19:00,471,lv,Online,45.0,46.0,-1.0,,,https://filesforprogress.org/memos/student-debt-project-electoral.pdf,True,
61,PA,Trafalgar Group,,9/18/2020,9/21/2020,9/25/2020 13:19:00,1006,lv,IVR,48.0,46.0,2.0,,,https://d3n8a8pro7vhmx.cloudfront.net/restoration/pages/865/attachments/original/1600985448/Trafalagar_PA_Sept.pdf,True,
62,ME,Colby College,,9/17/2020,9/23/2020,9/25/2020 13:19:00,847,lv,Live Phone,50.0,39.0,11.0,,,http://www.colby.edu/government/2020-polling/,True,
63,MN,Suffolk University,,9/20/2020,9/24/2020,9/25/2020 13:19:00,500,lv,Live Phone,47.0,40.0,7.0,4.0,,https://www.suffolk.edu/-/media/suffolk/documents/academics/research-at-suffolk/suprc/polls/other-states/2020/9_25_2020_marginals_pdftxt.pdf?la=en&hash=EA09FFF4A22FBF2A04A6A5776C86103A990C9C6A,True,
64,PA,Fox News/Beacon Research/Shaw & Co. Research,,9/20/2020,9/23/2020,9/24/2020 19:18:00,856,lv,Live Phone,51.0,44.0,7.0,,,https://static.foxnews.com/foxnews.com/content/uploads/2020/09/Fox_September-20-23-2020_Complete_Ohio_Topline_September-24-Release.pdf,True,
65,OH,Fox News/Beacon Research/Shaw & Co. Research,,9/20/2020,9/23/2020,9/24/2020 19:18:00,830,lv,Live Phone,50.0,45.0,5.0,,,https://static.foxnews.com/foxnews.com/content/uploads/2020/09/Fox_September-20-23-2020_Complete_Ohio_Topline_September-24-Release.pdf,True,
66,NV,Fox News/Beacon Research/Shaw & Co. Research,,9/20/2020,9/23/2020,9/24/2020 19:18:00,810,lv,Live Phone,52.0,41.0,11.0,,,https://static.foxnews.com/foxnews.com/content/uploads/2020/09/Fox_September-20-23-2020_Complete_Ohio_Topline_September-24-Release.pdf,True,
67,--,YouGov,Yahoo,9/21/2020,9/23/2020,9/24/2020 14:18:00,1125,lv,Live Phone,49.0,44.0,5.0,,,https://docs.cdn.yougov.com/o6p3vjhvnt/20200924_yahoo_coronavirus_tabs.pdf,True,
68,TX,Quinnipiac University,,9/17/2020,9/21/2020,9/24/2020 14:18:00,1078,lv,Live Phone,45.0,50.0,-5.0,,,https://poll.qu.edu/ohio/release-detail?ReleaseID=3675,True,
69,OH,Quinnipiac University,,9/17/2020,9/21/2020,9/24/2020 14:18:00,1085,lv,Live Phone,48.0,47.0,1.0,,,https://poll.qu.edu/ohio/release-detail?ReleaseID=3675,True,
70,MI,Data for Progress,,9/14/2020,9/19/2020,9/24/2020 13:57:00,455,lv,Online,50.0,44.0,6.0,,,https://filesforprogress.org/memos/2020-senate-project/week-1/topline-reports/DFP_MI_Week1_Senate_toplines.pdf,True,
71,KY,Data for Progress,,9/14/2020,9/19/2020,9/24/2020 13:57:00,807,lv,Online,38.0,56.0,-18.0,,,https://filesforprogress.org/memos/2020-senate-project/week-1/topline-reports/DFP_KY_Week1_Senate_toplines.pdf,True,
72,KS,Data for Progress,,9/14/2020,9/19/2020,9/24/2020 13:57:00,883,lv,Online,45.0,49.0,-4.0,,,https://filesforprogress.org/memos/2020-senate-project/week-1/topline-reports/DFP_KS_Week1_Senate_toplines.pdf,True,
73,GA,Data for Progress,,9/14/2020,9/19/2020,9/24/2020 13:57:00,800,lv,Online,46.0,46.0,0.0,,,https://filesforprogress.org/memos/2020-senate-project/week-1/topline-reports/DFP_GA-A_Week1_Senate_toplines.pdf,True,
74,AZ,Data Orbital,,9/14/2020,9/17/2020,9/24/2020 13:57:00,550,lv,Live Phone,49.0,47.0,2.0,,,https://twitter.com/Garrett_Archer/status/1309158493673398274,True,
75,MI,Trafalgar Group,,9/20/2020,9/22/2020,9/24/2020 12:03:00,600,lv,IVR,46.0,47.0,-1.0,3.0,,https://twitter.com/RobertCahaly/status/1309155660584677381?,True,
76,IA,Monmouth University,,9/18/2020,9/22/2020,9/24/2020 12:03:00,402,lv,Live Phone,46.0,49.0,-3.0,2.0,,https://www.monmouth.edu/polling-institute/documents/monmoutpoll_ia_092420.pdf/,True,
77,VA,Christopher Newport University,,9/9/2020,9/21/2020,9/24/2020 8:55:00,796,lv,Live Phone,48.0,43.0,5.0,,,https://cnu.edu/wasoncenter/surveys/2020-09-24/,True,
78,--,Global Strategy Group,,9/17/2020,9/21/2020,9/24/2020 8:55:00,1230,rv,Online,53.0,42.0,11.0,,,https://navigatorresearch.org/wp-content/uploads/2020/09/Navigating-Coronavirus-Full-Topline-F09.21.20.pdf,True,
79,WI,YouGov,University of Wisconsin Madison,9/10/2020,9/21/2020,9/24/2020 8:55:00,664,lv,Online,50.0,46.0,4.0,,,https://madison.com/news/local/govt-and-politics/new-poll-finds-big-gulf-on-top-issues-between-biden-trump-voters-in-battleground-states/article_e6b561d5-c142-535e-8354-139805638fb6.html,True,
80,PA,YouGov,University of Wisconsin Madison,9/10/2020,9/21/2020,9/24/2020 8:55:00,642,lv,Online,49.0,45.0,4.0,,,https://madison.com/news/local/govt-and-politics/new-poll-finds-big-gulf-on-top-issues-between-biden-trump-voters-in-battleground-states/article_e6b561d5-c142-535e-8354-139805638fb6.html,True,
81,MI,YouGov,University of Wisconsin Madison,9/10/2020,9/21/2020,9/24/2020 8:55:00,641,lv,Online,51.0,45.0,6.0,,,https://madison.com/news/local/govt-and-politics/new-poll-finds-big-gulf-on-top-issues-between-biden-trump-voters-in-battleground-states/article_e6b561d5-c142-535e-8354-139805638fb6.html,True,
82,TX,NYT/Siena College,,9/16/2020,9/22/2020,9/24/2020 8:55:00,653,lv,Live Phone,43.0,46.0,-3.0,2.0,,https://int.nyt.com/data/documenttools/ga-ia-tx-crosstabs/ca61e64eaef883ac/full.pdf,True,
83,IA,NYT/Siena College,,9/16/2020,9/22/2020,9/24/2020 8:55:00,501,lv,Live Phone,45.0,42.0,3.0,2.0,,https://int.nyt.com/data/documenttools/ga-ia-tx-crosstabs/ca61e64eaef883ac/full.pdf,True,
84,GA,NYT/Siena College,,9/16/2020,9/22/2020,9/24/2020 8:55:00,523,lv,Live Phone,45.0,45.0,0.0,2.0,,https://int.nyt.com/data/documenttools/ga-ia-tx-crosstabs/ca61e64eaef883ac/full.pdf,True,
85,PA,Franklin & Marshall College,,9/14/2020,9/20/2020,9/23/2020 18:55:00,480,lv,Live Phone/Online,48.0,42.0,6.0,,,https://www.citizensvoice.com/news/election/new-f-m-poll-shows-biden-up-6-points-in-pennsylvania/article_8e3ef5b5-ecd4-597b-9f86-9af2928c3dc4.html,True,
86,PA,CPEC,,9/15/2020,9/17/2020,9/23/2020 18:55:00,820,lv,Live Phone,50.0,45.0,5.0,,,https://projects.fivethirtyeight.com/polls/20200923_PA.pdf,True,
87,--,SSRS,POLITICO/Harvard,8/25/2020,9/6/2020,9/23/2020 18:55:00,1459,lv,Live Phone,52.0,42.0,10.0,,,https://www.politico.com/f/?id=00000174-bb97-dc18-a57d-bbf77dd00000,True,
88,AZ,Ipsos,,9/11/2020,9/17/2020,9/23/2020 16:23:00,565,lv,Online,47.0,46.0,1.0,,,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-09/topline_reuters_arizona_state_poll_w1_09_23_2020.pdf,True,
89,FL,Ipsos,,9/11/2020,9/16/2020,9/23/2020 16:23:00,586,lv,Online,47.0,47.0,0.0,,,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-09/topline_reuters_florida_state_poll_w1_09_23_2020.pdf,True,
90,WI,Baldwin Wallace University,,9/8/2020,9/22/2020,9/23/2020 16:23:00,853,lv,Online,50.0,41.0,9.0,2.0,,https://www.toledoblade.com/local/politics/2020/09/23/six-weeks-from-election-day-new-great-lakes-poll-shows-ohio-tossup/stories/20200923151,True,
91,PA,Baldwin Wallace University,,9/8/2020,9/22/2020,9/23/2020 16:23:00,1012,lv,Online,47.0,45.0,2.0,2.0,,https://www.toledoblade.com/local/politics/2020/09/23/six-weeks-from-election-day-new-great-lakes-poll-shows-ohio-tossup/stories/20200923151,True,
92,MI,Baldwin Wallace University,,9/8/2020,9/22/2020,9/23/2020 16:23:00,1001,lv,Online,50.0,42.0,8.0,1.0,,https://www.toledoblade.com/local/politics/2020/09/23/six-weeks-from-election-day-new-great-lakes-poll-shows-ohio-tossup/stories/20200923151,True,
93,OH,Baldwin Wallace University,,9/8/2020,9/22/2020,9/23/2020 16:23:00,1011,lv,Online,45.0,44.0,1.0,2.0,,https://www.toledoblade.com/local/politics/2020/09/23/six-weeks-from-election-day-new-great-lakes-poll-shows-ohio-tossup/stories/20200923151,True,
94,NC,Harper Polling,,9/17/2020,9/20/2020,9/23/2020 15:28:00,612,lv,Online,44.0,45.0,-1.0,2.0,,https://www.nccivitas.org/polling/trump-biden-dead-heat/,True,
95,--,Quinnipiac University,,9/17/2020,9/21/2020,9/23/2020 14:10:00,1302,lv,Live Phone,52.0,42.0,10.0,,,https://poll.qu.edu/national/release-detail?ReleaseID=3674,True,
96,--,Marquette University Law School,,9/8/2020,9/15/2020,9/23/2020 13:30:00,1357,lv,Live Phone,50.0,40.0,10.0,5.0,,https://twitter.com/MULawPoll/status/1308819658695471104,True,
97,GA,Monmouth University,,9/17/2020,9/21/2020,9/23/2020 11:23:00,402,lv,Live Phone,46.0,49.0,-3.0,2.0,,https://www.monmouth.edu/polling-institute/documents/monmouthpoll_ga_092320.pdf/,True,average of lv filters
98,FL,St Pete Polls,,9/21/2020,9/22/2020,9/23/2020 11:23:00,2906,lv,IVR,50.0,47.0,3.0,,,http://stpetepolls.org/files/StPetePolls_2020_State_President_September22_U5GDL.pdf,True,
99,--,YouGov,Economist,9/20/2020,9/22/2020,9/23/2020 11:23:00,1124,lv,Online,49.0,42.0,7.0,,,https://docs.cdn.yougov.com/b8ow3q7r1e/econTabReport.pdf,True,
100,WI,Change Research,CNBC,9/18/2020,9/20/2020,9/23/2020 11:23:00,571,lv,Online,51.0,42.0,9.0,,,https://changeresearch.com/post/states-of-play-battleground-wave-14/,True,
101,PA,Change Research,CNBC,9/18/2020,9/20/2020,9/23/2020 11:23:00,579,lv,Online,49.0,45.0,4.0,,,https://changeresearch.com/post/states-of-play-battleground-wave-14/,True,
102,NC,Change Research,CNBC,9/18/2020,9/20/2020,9/23/2020 11:23:00,579,lv,Online,48.0,46.0,2.0,,,https://changeresearch.com/post/states-of-play-battleground-wave-14/,True,
103,MI,Change Research,CNBC,9/18/2020,9/20/2020,9/23/2020 11:23:00,568,lv,Online,51.0,43.0,8.0,,,https://changeresearch.com/post/states-of-play-battleground-wave-14/,True,
104,FL,Change Research,CNBC,9/18/2020,9/20/2020,9/23/2020 11:23:00,702,lv,Online,49.0,46.0,3.0,,,https://changeresearch.com/post/states-of-play-battleground-wave-14/,True,
105,AZ,Change Research,CNBC,9/18/2020,9/20/2020,9/23/2020 11:23:00,262,lv,Online,49.0,43.0,6.0,,,https://changeresearch.com/post/states-of-play-battleground-wave-14/,True,
106,--,Change Research,CNBC,9/18/2020,9/20/2020,9/23/2020 11:23:00,1430,lv,Online,51.0,42.0,9.0,5.0,,https://changeresearch.com/post/states-of-play-battleground-wave-14/,True,
107,FL,ABC News/Washington Post,,9/15/2020,9/20/2020,9/23/2020 11:23:00,613,lv,Live Phone,47.0,51.0,-4.0,,,https://www.washingtonpost.com/context/sept-15-20-2020-florida-and-arizona-washington-post-abc-news-polls/48276797-3b93-4ab2-835b-ed2fcdc8581e/,True,
108,AZ,ABC News/Washington Post,,9/15/2020,9/20/2020,9/23/2020 11:23:00,701,lv,Live Phone,48.0,49.0,-1.0,,,https://www.washingtonpost.com/context/sept-15-20-2020-florida-and-arizona-washington-post-abc-news-polls/48276797-3b93-4ab2-835b-ed2fcdc8581e/,True,
109,--,Climate Nexus,,9/8/2020,9/9/2020,9/23/2020 11:23:00,1244,lv,Online,52.0,41.0,11.0,,,https://climatenexus.org/wp-content/uploads/2015/09/Covering-Climate-Now-Climate-Change-National-Poll.pdf,True,
110,NC,Ipsos,,9/11/2020,9/16/2020,9/22/2020 16:25:00,568,lv,Online,47.0,47.0,0.0,,,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-09/topline_reuters_north_carolina_state_poll_w1_09_22_2020.pdf,True,
111,MI,Ipsos,,9/11/2020,9/16/2020,9/22/2020 16:25:00,637,lv,Online,49.0,44.0,5.0,,,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-09/topline_reuters_michigan_state_poll_w1_09_22_2020.pdf,True,
112,WA,Strategies 360,,9/8/2020,9/14/2020,9/22/2020 11:33:00,501,rv,Live Phone/Online,58.0,36.0,22.0,,,https://www.scribd.com/document/476985568/Strategies-360-KOMO-News-election-polling,True,
113,MI,Market Research Group,,9/14/2020,9/19/2020,9/22/2020 11:33:00,600,lv,Live Phone,46.0,41.0,5.0,,,https://www.mrgmi.com/2020/09/22/ballot-test-biden-increases-lead-on-trump-but-late-deciding-voters-could-again-play-a-significant-role/,True,
114,VT,Braun Research,,9/3/2020,9/15/2020,9/22/2020 8:53:00,586,lv,Live Phone,56.0,32.0,24.0,,,http://projects.vpr.org/vpr-vermont-pbs-2020-polls-september,True,
115,SC,Morning Consult,,9/11/2020,9/20/2020,9/22/2020 8:53:00,764,lv,Online,44.0,50.0,-6.0,,,https://morningconsult.com/2020/09/22/majority-makers-south-carolina-senate-harrison-graham/,True,
116,IA,Selzer & Co.,,9/14/2020,9/17/2020,9/22/2020 8:53:00,658,lv,Live Phone,47.0,47.0,0.0,,,https://www.desmoinesregister.com/story/news/politics/iowa-poll/2020/09/22/iowa-poll-donald-trump-joe-biden-tied-iowa-presidential-race-2020/5839311002/,True,
